id,comment_text,toxic,severe_toxic,obscene,threat,insult,identity_hate
006d11791d76b9f3,"REPLY ABOVE:
That was me, loser. The UN defines Vietnam to be part of Southeast Asia. And far as I know Vietnam is part of ASEAN, and used to be part of French Indochina with Laos and all those shit countries Anyway your culture has always been more influenced by SEA than Han Chinese (as in proper Yangtze Han Chinese, not the fringe indigenous tribes in Guangzhou/Guangxi). 

Just admit that you vietnamese are all a bunch of wannabe crap people. ALL the east asian people I've spoken to thinks of Vietnam as a very integral part of SEA, and we all think you're backward, dirty and speak in a horrible swearing language. Doesn't matter what crap you spout on Wikipedia, won't change the way people in the real world think.",0,0,0,0,1,0
011d0c0a6c8e5765,I NEVER FUCKING MADE THIS MOTHER FUCKING ARTICLE I JUST FUCKING EDITED IT AND THAT WAS A FUCKING LONG TIME AGO FUCKING ASSHOLES! PISSING ME OFF @,1,0,1,0,1,0
01113aece2e95a73,Be careful who you call a moron.,1,0,0,0,0,0
00c0b8ed05ed7833,"Fuck off

You are NOT an administrator. You DON'T have the authority to tell me what to do.",1,0,1,0,0,0
01208d2b76624130,"Hi 

Im a fucking bitch.

50.180.208.181",1,1,1,0,1,0
0036621e4c7e10b5,"Would you both shut up, you don't run wikipedia, especially a stupid kid.",1,0,0,0,1,0
015d1b0bb4cc744d,"Dictionaries

How dare you call my contribution spam!!! I am a Kurd and I made a lsit of kurdish dictionaries. you bloody turkish nationalist and atoricity commiting bone breaking Nazi. watch out folk this slimy Turk is trying to censor the internet this is not undemocratic Turkey here, no prison cells in wikipedia you stupid Turk! And you buggers want membership to the EEC",1,0,1,0,1,1
001810bf8c45bf5f,"You are gay or antisemmitian? 

Archangel WHite Tiger

Meow! Greetingshhh!

Uh, there are two ways, why you do erased my comment about WW2, that holocaust was brutally slaying of Jews and not gays/Gypsys/Slavs/anyone...

1 - If you are anti-semitian, than shave your head bald and go to the skinhead meetings!

2 - If you doubt words of the Bible, that homosexuality is a deadly sin, make a pentagram tatoo on your forehead go to the satanistic masses with your gay pals!

3 - First and last warning, you fucking gay - I won't appreciate if any more nazi shwain would write in my page! I don't wish to talk to you anymore!

Beware of the Dark Side!",1,0,1,0,1,1
00686325bcc16080,"You should be fired, you're a moronic wimp who is too lazy to do research. It makes me sick that people like you exist in this world.",1,0,0,0,1,0
00c59720428c985a,"""

 Fuck you 

  Fuck you award go fuck yourself   """,1,0,1,0,1,0
0020fd96ed3b8c8b,=Tony Sidaway is obviously a fistfuckee. He loves an arm up his ass.,1,0,1,0,1,0
0125f95ac41f6cea,Add Mobile porn as additional WP:ALSO link,1,0,0,0,0,0
001dc38a83d420cf,GET FUCKED UP. GET FUCKEEED UP.  GOT A DRINK THAT YOU CANT PUT DOWN???/ GET FUCK UP GET FUCKED UP.  I'M FUCKED UP RIGHT NOW!,1,0,1,0,0,0
28,You are so sweet,0,0,0,0,0,0
29,You are so sweet,1,0,0,0,1,0
005f59485fcddeb0,"""

SORRY PUCK BUT NO ONE EVER SAID DICK WAS NUMBER ONE!! But he is clearly listed as being """"second only to Batman"""" and a """"master detective and martial artist"""" and been trained in all the mentioned combat discplines. No need to mention in skills/abilities about the battles he's lost and won because thats not what an encylopia is supposed to do. 

Also, what your problem is your going by low end showings and not HIGH end showings where he's proven more than a match for a meta like Slade and pinned Shiva down in one of his earliest appearences.
 """,1,0,0,0,0,0
00ab65775c601cf9,Atheism is full of bias shit,1,0,0,0,0,0
0097dd5c29bf7a15,u r a tw@ fuck off u gay boy.U r smelly.Fuck ur mum poopie,1,0,1,0,1,1
008e0818dde894fb,"Kill all niggers. 

I have hard, that others have said this.. should this be included? That racists sometimes say these.",1,0,1,0,1,1
0152f55962c4f707,I don't care what you say here. I don't believe one sentence anymore.,1,0,0,0,0,0
0028d62e8a5629aa,"All of my edits are good.  Cunts like you who revert good edits because you're too stupid to understand how to write well , and then revert other edits just because you've decided to bear a playground grudge, are the problem.  Maybe one day you'll realise the damage you did to a noble project.  201.215.187.159",1,0,1,0,1,0
00c1b6962307c80e,"Well you are ridiculous, in fact I suspect that you are Calton, please block me, I dont care....",1,0,0,0,0,0
01a04eaa73dc98ab,DISLIKE RACISM AND I CAN SEE THAT YOU HAS PROBLEMS WITH PEOPLE WHO SPEAKS SPANISH. YOU ARE AN ANTISEMITE TOO.,1,0,0,0,0,0
014c96f873db11ff,"""""""Nazi filth"""" is impolite  04:27, 20 Jan 2004 (UTC)

""",1,0,0,0,1,0
00d7a73eb033ee5e,"Have you seen the reference to their claim, you moron''?? This is not a source. ItÂ´s their POV. Once I have more time I will reduce your Pashtun nationalist POVs here on Wiki and give order to my uncles and cousins the execution of Pashtuns in the entire northern Afghanistan down to Gardez, Jalalabad, Lashkargah, Logar, Paghman, Laghman, Kunduz, Herat, Farah ... whereever immigrant descandants of violent Kuchis settled and took non-Pashtun lands away and traditional Tajik countries. 84.59.190.210",1,0,0,0,0,0
00b77cb600c897b4,"""

And you are? Let me know when you've crawled out of their arses. '''''' Dick Laurent is dead """,1,0,0,0,0,0
01166f26ee280e56,"Gay 

The existence of CDVF is further proof that  is a sad twat. He is also very ugly, and has a willy for a face.",1,0,1,0,1,1
016309265c788dc1,"You are a know it all.....Jimbo! 

Why don't you get a life instead of sitting in front of your computer all day. The high priestess of knowledge, indeed!",1,0,0,0,0,0
0005c987bdfc9d4b,"Hey... what is it..
@ | talk .
What is it... an exclusive group of some WP TALIBANS...who are good at destroying, self-appointed purist who GANG UP any one who asks them questions abt their ANTI-SOCIAL and DESTRUCTIVE (non)-contribution at WP?

Ask Sityush to clean up his behavior than issue me nonsensical warnings...",1,0,0,0,0,0
007f1839ada915e6,"Your blatant POV pushing 

Neither of you guys has made any contribution to this Italian history article other than to shove your unhistorical unconstructive modern POV in my face.
This is a HISTORY article. HISTORY.
Have you heard of that?
This is the reason why so many people get pissed off about the pedantry and idiocy and triviality of Wikipedia.
J*sus. Get a f*cking life.",1,0,1,0,0,0
0007e25b2121310b,"Bye! 

Don't look, come or think of comming back! Tosser.",1,0,0,0,0,0
018663f910e0bfe6,What a motherfucking piece of crap those fuckheads for blocking us!,1,1,1,0,1,0
00dc0760994133ff,"Fuck you 

-User:The Bohemian Shinobis yeah, that's right, bitch! You are all pieces of shit!",1,0,1,0,1,0
00d1d2f4f247d472,MATT HARDY IS SO FUCKY!!!''Italic text[[Media:Example.ogg]]'''''MATT HARDY IS SO FUCKY!!!,1,0,1,0,0,0
015c99386399aa14,HELLO HOW DO I GET SOMEBODY TO FIX SHIT AROUND HERE?,1,0,1,0,0,0
0086998b34865f93,"Fuck you, block me, you faggot pussy!",1,0,1,0,1,0
018e6f1e1b18723a,"""

 Another crap article 
Parrots what promotion websites of capoeira schools say about myths of origin. And also that persecution thing. By the late 1800s, capoeira became a word for street brawling. Thus, authorities did not prohibit or sanction """"practice"""" of capoeira. In banning capoeira they were banning outright street brawls! It's why Mestre Bimba presented his art as Luta Regional Baiana. No decent carioca would be eager to sympathise with capoeira and malandrismo. I could attempt to alter the article but it's become such a mess by now.   """,1,0,0,0,0,0
002264ea4d5f2887,"Why can't you believe how fat Artie is? Did you see him on his recent appearence on the Tonight Show with Jay Leno? He looks absolutely AWFUL! If I had to put money on it, I'd say that Artie Lange is a can't miss candidate for the 2007 Dead pool!   

  
Kindly keep your malicious fingers off of my above comment, . Everytime you remove it, I will repost it!!!",1,0,0,0,0,0
0082b5a7b4a67da2,Give me a permanat block raseac....!!! remember me....!!! Muslims dont you worry for these images they are trying to hurt us but they cant look these images are fake and have nothing to do with Islam or our prophet even their article is so lame wikipedia is not an authentic source its an encyclopedia for the kids which has not authenticity anyone can edit or write whatever they think...just like raeasc you can see he does not knows what Islam is and he talks about it so forget about wiki its lame they have no authenticity...i recommend they should add pissed christ in jessus article....they should...,1,0,0,0,0,0
006b94add72ed61c,I think that your a Fagget get a oife and burn in Hell I hate you 'm sorry we cant have any more sex i'm running out of conndoms,1,0,1,1,1,1
018942e044417b74,"You sir are an imbecile, and a pervert.",1,0,0,0,1,0
00db176890cd71bf,"Thank you 
Hei, it's me, the William Hope fan. Guess what - I am back at a new IP, ready to vandalize everything regarding William Hope, and you can't do sh-t to stop me, maybe delay me, but no stopping me. So lets salute to some more William Hope lunacy by shoving his p-nis in my mouth.",1,0,0,0,0,0
006e87872c8b370c,"you are a stupid fuck 

and your mother's cunt stinks",1,1,1,0,1,0
019ab9a91e7fcdbe,Are you fucker mother fucker have nothing to do but block University computers. Go and suck cocks,1,0,1,0,1,0
00472b8e2d38d1ea,A pair of jew-hating weiner nazi schmucks.,1,0,1,0,1,1
015bf1bda7ab6b9c,"I can tell you what the argument is about here newseventsguy. It's about YOUR retroactive reversion of a simple edit trying to include secondary independent verification of sedimentary nanodiamonds in Younger Dryas sediments by Bement and Madden et al., WITHOUT DISCUSSION a reference that I notice has NOT YET been included in the reference list still, after all this time. This is after you ADMIT that you are ignorant of the peer review literature and the controversy. Any attempt to do simple reference list edits on this page have been stomped by no less that five admittedly biased and ignorant editors. The honorable thing to do here would be to recuse yourself from editing the page, as I have. But I haven't seen that happening until now. Good luck with it, you've already made complete fools of yourselves.",1,0,0,0,0,0
